Date,Price,Open,High,Low,Vol.,Change %
2018-01-11,1816.88,1822.02,1823.31,1812.78,146.66M,-0.33%
2018-01-10,1822.92,1828.90,1830.63,1821.27,157.95M,-0.22%
2018-01-09,1826.95,1837.26,1840.35,1823.52,185.43M,-0.28%
2018-01-08,1832.15,1819.74,1832.15,1813.03,182.18M,0.78%
2018-01-05,1817.97,1804.79,1817.97,1803.81,186.35M,0.81%
2018-01-04,1803.45,1795.56,1803.45,1795.56,166.13M,0.59%
2018-01-03,1792.79,1785.79,1795.87,1785.21,172.97M,0.57%
2018-01-02,1782.70,1783.10,1783.48,1772.00,85.03M,-0.79%
2017-12-29,1796.81,1780.65,1796.81,1776.94,145.43M,1.00%
2017-12-28,1779.10,1771.95,1781.84,1769.60,102.17M,0.41%
2017-12-27,1771.76,1760.71,1771.76,1760.69,103.73M,0.67%
2017-12-26,1759.99,1758.51,1760.45,1753.25,100.97M,-0.01%
2017-12-22,1760.24,1752.85,1760.24,1748.49,89.82M,0.52%
2017-12-21,1751.21,1750.59,1752.25,1744.21,142.05M,0.26%
2017-12-20,1746.63,1735.92,1751.95,1735.44,135.78M,0.56%
2017-12-19,1736.95,1743.73,1744.39,1732.93,196.03M,-0.84%
2017-12-18,1751.64,1754.05,1755.20,1747.62,123.16M,-0.08%
2017-12-15,1753.07,1757.06,1760.02,1745.65,294.32M,-0.34%
2017-12-14,1759.00,1738.08,1759.75,1736.07,223.85M,1.23%
2017-12-13,1737.66,1728.84,1737.66,1725.95,175.20M,0.47%
2017-12-12,1729.57,1718.76,1729.57,1717.32,153.87M,0.59%
2017-12-11,1719.47,1720.93,1725.74,1718.30,131.93M,-0.10%
2017-12-08,1721.25,1721.28,1724.59,1718.88,185.29M,0.13%
2017-12-07,1719.05,1721.71,1723.40,1718.47,181.26M,0.04%
2017-12-06,1718.33,1720.73,1722.95,1715.10,176.06M,-0.38%
2017-12-05,1724.84,1708.48,1724.84,1708.48,133.14M,0.68%
2017-12-04,1713.13,1717.98,1717.99,1709.17,184.36M,-0.28%
2017-11-30,1717.86,1719.62,1727.62,1716.76,467.43M,-0.15%
2017-11-29,1720.38,1716.28,1720.57,1714.47,136.50M,0.35%
2017-11-28,1714.42,1716.12,1716.79,1709.94,113.57M,-0.32%
2017-11-27,1719.86,1718.37,1719.86,1712.97,95.88M,0.15%
2017-11-24,1717.23,1720.05,1720.38,1713.26,168.65M,-0.23%
2017-11-23,1721.27,1723.42,1728.18,1720.59,77.57M,-0.13%
2017-11-22,1723.54,1724.59,1727.77,1721.36,135.48M,0.17%
2017-11-21,1720.68,1718.83,1722.73,1716.45,109.98M,0.14%
2017-11-20,1718.36,1723.77,1725.35,1717.45,109.27M,-0.19%
2017-11-17,1721.66,1720.81,1725.69,1719.87,111.01M,0.21%
2017-11-16,1718.11,1723.04,1725.72,1716.97,149.58M,-0.28%
2017-11-15,1722.99,1733.90,1736.40,1722.99,146.08M,-0.61%
2017-11-14,1733.61,1743.27,1744.61,1733.31,130.60M,-0.22%
2017-11-13,1737.49,1743.14,1746.72,1737.49,101.43M,-0.27%
2017-11-10,1742.28,1746.53,1748.94,1740.94,93.71M,-0.26%
